period_range,snr,n_recovered,n_total,recovery_fraction,mean_overlap,mean_period_ratio,mean_bls_snr
long,5,0,100,0.0,0.21205402930402928,0.11475048304105037,2.7138405444558718
long,7,6,100,0.06,0.41060043632837745,0.19107770665647747,4.192445366845731
long,10,28,100,0.28,0.5891362583494937,0.4769487132311653,6.825984366492846
long,12,54,100,0.54,0.7092381221719457,0.7937748303149809,9.088606724641338
long,15,74,100,0.74,0.8266071428571429,1.0707955385900758,12.697881563704327
long,18,69,100,0.69,0.7902321428571429,0.9439890497815492,14.980648917998801
long,20,76,100,0.76,0.8161498599439776,1.0472899818759906,17.351849087525036
long,22,67,100,0.67,0.7795178571428572,0.9919559764476261,17.697544471065168
long,25,72,100,0.72,0.804517318465848,1.0396718010497394,20.516822180145606
long,30,77,100,0.77,0.8343676470588235,1.0588566928680192,25.966490265824305
medium,5,23,100,0.23,0.33025316007220057,0.4206955101792931,2.7751380273535715
medium,7,62,100,0.62,0.6730562085678478,0.7105078383397776,5.525368072990019
medium,10,83,100,0.83,0.8517685660110729,0.9046714653302408,9.071562513390877
medium,12,89,100,0.89,0.8773162073250396,0.9011441057117331,11.210606186596841
medium,15,92,100,0.92,0.899431528623961,0.9939766207516163,14.357023999152807
medium,18,84,100,0.84,0.8716114387254398,0.9537998471946597,16.25271364672537
medium,20,94,100,0.94,0.9126069373783671,1.0516234243680598,19.673706190693494
medium,22,90,100,0.9,0.8900847829997756,0.9496243332450827,20.91373546934034
medium,25,84,100,0.84,0.8602226885517064,0.9243983197151959,22.853614830484783
medium,30,94,100,0.94,0.9219527290069172,1.0362302965455812,30.157247996283008
short,5,43,100,0.43,0.43993672772619924,0.7493651714151136,2.9574315048212316
short,7,97,100,0.97,0.8890667830426492,0.9897400298159169,6.945969832009937
short,10,100,100,1.0,0.9404601002304978,1.0000096069274602,10.008982610464452
short,12,100,100,1.0,0.9427453573343714,0.9999467566195369,12.139227882583423
short,15,100,100,1.0,0.9533952741491872,1.0000065191639167,15.091766487869801
short,18,100,100,1.0,0.9568965024191151,0.999995211745562,18.366182385223425
short,20,100,100,1.0,0.957629437188275,1.0000346351228715,20.607479188929165
short,22,100,100,1.0,0.9576295614290484,0.999975322980881,22.18922535524541
short,25,100,100,1.0,0.9598828821622876,1.0000115455984078,25.705142945819006
short,30,100,100,1.0,0.9586443441114088,0.9999889788620631,30.904921391130184
